Used Memory,Free Memory,Total Memory,Max Memory
1845760,258201088,260046848,4135583744
7641128,252405720,260046848,4135583744
13046368,247000480,260046848,4135583744
19337824,240709024,260046848,4135583744
27262976,232783872,260046848,4135583744
27122560,232924288,260046848,4135583744
35259472,224787376,260046848,4135583744
39453776,220593072,260046848,4135583744
44203040,215843808,260046848,4135583744
54269336,205777512,260046848,4135583744
58463640,201583208,260046848,4135583744
62238480,197808368,260046848,4135583744
66432784,193614064,260046848,4135583744
80239120,179807728,260046848,4135583744
84433424,175613424,260046848,4135583744
88627728,171419120,260046848,4135583744
92274688,167772160,260046848,4135583744
96468992,163577856,260046848,4135583744
100204080,159842768,260046848,4135583744
116981296,143065552,260046848,4135583744
122895232,137151616,260046848,4135583744
127089536,132957312,260046848,4135583744
131283840,128763008,260046848,4135583744
135478144,124568704,260046848,4135583744
139043264,121003584,260046848,4135583744
143237568,116809280,260046848,4135583744
147431872,112614976,260046848,4135583744
150994944,109051904,260046848,4135583744
174829320,605311224,780140544,4135583744
179023624,601116920,780140544,4135583744
183217928,596922616,780140544,4135583744
186537984,593602560,780140544,4135583744
190732288,589408256,780140544,4135583744
194575888,585564656,780140544,4135583744
198770192,581370352,780140544,4135583744
202964496,577176048,780140544,4135583744
207509504,572631040,780140544,4135583744
211353104,568787440,780140544,4135583744
215547408,564593136,780140544,4135583744
220625408,559515136,780140544,4135583744
224819712,555320832,780140544,4135583744
227967488,552173056,780140544,4135583744
257327616,522812928,780140544,4135583744
261521920,518618624,780140544,4135583744
265716224,514424320,780140544,4135583744
269910528,510230016,780140544,4135583744
274104832,506035712,780140544,4135583744
277248512,502892032,780140544,4135583744
281442816,498697728,780140544,4135583744
285637120,494503424,780140544,4135583744
289831424,490309120,780140544,4135583744
294025728,486114816,780140544,4135583744
297173504,482967040,780140544,4135583744
304854016,475286528,780140544,4135583744
309048320,471092224,780140544,4135583744
313242624,466897920,780140544,4135583744
317436928,462703616,780140544,4135583744
321631232,458509312,780140544,4135583744
324774912,455365632,780140544,4135583744
328969216,451171328,780140544,4135583744
333163520,446977024,780140544,4135583744
337357824,442782720,780140544,4135583744
379300864,400839680,780140544,4135583744
382448640,397691904,780140544,4135583744
386642944,393497600,780140544,4135583744
390837248,389303296,780140544,4135583744
395031552,385108992,780140544,4135583744
399225856,380914688,780140544,4135583744
403420160,376720384,780140544,4135583744
406563840,373576704,780140544,4135583744
410758144,369382400,780140544,4135583744
418892288,361248256,780140544,4135583744
423086592,357053952,780140544,4135583744
427280896,352859648,780140544,4135583744
430428672,349711872,780140544,4135583744
434622976,345517568,780140544,4135583744
438817280,341323264,780140544,4135583744
443011584,337128960,780140544,4135583744
447205888,332934656,780140544,4135583744
451400192,328740352,780140544,4135583744
454543872,325596672,780140544,4135583744
458738176,321402368,780140544,4135583744
462932480,317208064,780140544,4135583744
467126784,313013760,780140544,4135583744
471321088,308819456,780140544,4135583744
474468864,305671680,780140544,4135583744
478663168,301477376,780140544,4135583744
482857472,297283072,780140544,4135583744
487051776,293088768,780140544,4135583744
491246080,288894464,780140544,4135583744
495440384,284700160,780140544,4135583744
498584064,281556480,780140544,4135583744
509495808,1612822016,2122317824,4135583744
570313216,1552004608,2122317824,4135583744
574507520,1547810304,2122317824,4135583744
578701824,1543616000,2122317824,4135583744
581849600,1540468224,2122317824,4135583744
586043904,1536273920,2122317824,4135583744
590238208,1532079616,2122317824,4135583744
594432512,1527885312,2122317824,4135583744
598626816,1523691008,2122317824,4135583744
602821120,1519496704,2122317824,4135583744
605964800,1516353024,2122317824,4135583744
610159104,1512158720,2122317824,4135583744
614353408,1507964416,2122317824,4135583744
618547712,1503770112,2122317824,4135583744
622742016,1499575808,2122317824,4135583744
625889792,1496428032,2122317824,4135583744
630084096,1492233728,2122317824,4135583744
634278400,1488039424,2122317824,4135583744
638472704,1483845120,2122317824,4135583744
642667008,1479650816,2122317824,4135583744
646861312,1475456512,2122317824,4135583744
650004992,1472312832,2122317824,4135583744
654199296,1468118528,2122317824,4135583744
665845760,1456472064,2122317824,4135583744
670040064,1452277760,2122317824,4135583744
674234368,1448083456,2122317824,4135583744
677382144,1444935680,2122317824,4135583744
681576448,1440741376,2122317824,4135583744
685770752,1436547072,2122317824,4135583744
689965056,1432352768,2122317824,4135583744
694159360,1428158464,2122317824,4135583744
698353664,1423964160,2122317824,4135583744
701497344,1420820480,2122317824,4135583744
705691648,1416626176,2122317824,4135583744
709885952,1412431872,2122317824,4135583744
714080256,1408237568,2122317824,4135583744
718274560,1404043264,2122317824,4135583744
721422336,1400895488,2122317824,4135583744
725616640,1396701184,2122317824,4135583744
729810944,1392506880,2122317824,4135583744
734005248,1388312576,2122317824,4135583744
738199552,1384118272,2122317824,4135583744
742393856,1379923968,2122317824,4135583744
745537536,1376780288,2122317824,4135583744
749731840,1372585984,2122317824,4135583744
753926144,1368391680,2122317824,4135583744
765460480,1356857344,2122317824,4135583744
773849088,1348468736,2122317824,4135583744
778043392,1344274432,2122317824,4135583744
781191168,1341126656,2122317824,4135583744
785385472,1336932352,2122317824,4135583744
789579776,1332738048,2122317824,4135583744
793774080,1328543744,2122317824,4135583744
797968384,1324349440,2122317824,4135583744
801112064,1321205760,2122317824,4135583744
805306368,1317011456,2122317824,4135583744
809500672,1312817152,2122317824,4135583744
813694976,1308622848,2122317824,4135583744
817889280,1304428544,2122317824,4135583744
822083584,1300234240,2122317824,4135583744
825231360,1297086464,2122317824,4135583744
829425664,1292892160,2122317824,4135583744
833619968,1288697856,2122317824,4135583744
837814272,1284503552,2122317824,4135583744
842008576,1280309248,2122317824,4135583744
845152256,1277165568,2122317824,4135583744
849346560,1272971264,2122317824,4135583744
853540864,1268776960,2122317824,4135583744
